Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,55.345001,55.639999,54.367500,54.432499,53.897728,221652400
2019-09-23,54.737499,55.622501,54.285000,54.705002,54.167561,465780800
2019-09-30,55.224998,57.055000,53.782501,56.752499,56.194942,634486800
2019-10-07,56.567501,59.410000,56.082500,59.052502,58.472343,588705600
2019-10-14,58.724998,59.532501,58.299999,59.102501,58.521858,422709600
2019-10-21,59.380001,61.682499,59.330002,61.645000,61.039375,388122000
2019-10-28,61.855000,63.982498,59.314999,63.955002,63.326683,654221600
2019-11-04,64.332497,65.110001,63.842499,65.035004,64.396072,423960800
2019-11-11,64.574997,66.445000,64.570000,66.440002,65.984779,461333600
2019-11-18,66.449997,67.000000,65.099998,65.445000,64.996597,455825200
2019-11-25,65.677498,67.000000,65.625000,66.812500,66.354729,301081200
2019-12-02,66.817497,67.750000,64.072502,67.677498,67.213799,456599200
2019-12-09,67.500000,68.824997,66.227501,68.787498,68.316193,568117600
2019-12-16,69.250000,70.662498,69.245003,69.860001,69.381348,732720000
2019-12-23,70.132500,73.492500,70.092499,72.449997,71.953598,386438000
2019-12-30,72.364998,75.150002,71.305000,74.357498,73.848030,526723200
2020-01-06,73.447502,78.167503,73.187500,77.582497,77.050926,670091600
2020-01-13,77.910004,79.684998,77.387497,79.682503,79.136551,652055600
2020-01-20,79.297501,80.832497,78.912498,79.577499,79.032265,463685200
2020-01-27,77.514999,81.962502,76.220001,77.377502,76.847343,866734800
2020-02-03,76.074997,81.305000,75.555000,80.007500,79.459320,652538400
2020-02-10,78.544998,81.805000,78.462502,81.237503,80.872375,492263600
2020-02-17,78.839996,81.162498,77.625000,78.262497,77.910744,476635200
2020-02-24,74.315002,76.044998,64.092499,68.339996,68.032837,1078250400
2020-03-02,70.570000,76.000000,69.430000,72.257500,71.932739,323450200
2020-03-09,65.937500,71.610001,62.000000,69.492500,69.180161,404209900
2020-03-16,60.487499,64.769997,57.000000,57.310001,57.052418,404899600
2020-03-23,57.020000,64.669998,53.152500,61.935001,61.656628,1384190000
2020-03-30,62.685001,65.622498,59.224998,60.352501,60.081242,837010800
2020-04-06,62.724998,67.925003,62.345001,66.997498,66.696373,735719200
2020-04-13,67.077499,72.062500,66.457497,70.699997,70.382233,829547200
2020-04-20,69.487503,70.752502,66.357498,70.742500,70.424545,679387200
2020-04-27,70.449997,74.750000,69.550003,72.267502,71.942688,790054000
2020-05-04,72.292503,77.587502,71.580002,77.532501,77.184029,672916000
2020-05-11,77.025002,79.922501,75.052498,76.927498,76.789047,834147600
2020-05-18,78.292503,80.222504,77.580002,79.722504,79.579025,533098800
2020-05-25,80.875000,81.059998,78.272499,79.485001,79.341949,525626000
2020-06-01,79.437500,82.937500,79.302498,82.875000,82.725845,497736000
2020-06-08,82.562500,88.692497,81.830002,84.699997,84.547554,811826800
2020-06-15,83.312500,89.139999,83.144997,87.430000,87.272644,779940400
2020-06-22,87.834999,93.095001,87.787498,88.407501,88.248390,883003200
2020-06-29,88.312500,92.617500,87.820000,91.027496,90.863670,495648000
2020-07-06,92.500000,96.317497,92.467499,95.919998,95.747368,564072000
2020-07-13,97.264999,99.955002,93.877502,96.327499,96.154129,718600800
2020-07-20,96.417503,99.250000,89.144997,92.614998,92.448311,665408800
2020-07-27,93.709999,106.415001,93.247498,106.260002,106.068756,847635600
2020-08-03,108.199997,114.412498,107.892502,111.112503,110.912529,1003689200
2020-08-10,112.599998,116.042503,109.107498,114.907501,114.907501,941898000
2020-08-17,116.062500,124.867500,113.962502,124.370003,124.370003,835695200
2020-08-24,128.697495,128.785004,123.052498,124.807503,124.807503,1063638000
2020-08-31,127.580002,137.979996,110.889999,120.959999,120.959999,1168498600
2020-09-07,113.949997,120.500000,110.000000,112.000000,112.000000,771441800
2020-09-14,114.720001,118.830002,106.089996,106.839996,106.839996,944175700
2020-09-21,null,null,null,null,null,null
2020-09-21,104.540001,110.190002,103.099998,110.080002,110.080002,195713815
